date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:54:17	9034/9034	---MCZ	200	added ('OK')	application/javascript	etag:W/%22234a-16b26fe50f5%22	https://bot.emirkabal.com/altyapi/js/jquery.waypoints.min.js	/storage/emulated/0/HTTrack/Websites/kabals/bot.emirkabal.com/altyapi/js/jquery.waypoints.min.js	(from https://bot.emirkabal.com/komutlar)
01:54:17	1074/1074	---MCZ	200	added ('OK')	application/javascript	etag:W/%22432-16b26fe50f0%22	https://bot.emirkabal.com/altyapi/js/jquery.counterup.min.js	/storage/emulated/0/HTTrack/Websites/kabals/bot.emirkabal.com/altyapi/js/jquery.counterup.min.js	(from https://bot.emirkabal.com/komutlar)
01:54:19	1485/1485	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cd-16b26fe50e0%22	https://bot.emirkabal.com/altyapi/js/apear.js	/storage/emulated/0/HTTrack/Websites/kabals/bot.emirkabal.com/altyapi/js/apear.js	(from https://bot.emirkabal.com/komutlar)
01:54:19	3583/3583	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dff-16b26fe50e2%22	https://bot.emirkabal.com/altyapi/js/countto.js	/storage/emulated/0/HTTrack/Websites/kabals/bot.emirkabal.com/altyapi/js/countto.js	(from https://bot.emirkabal.com/komutlar)
01:54:21	42772/42772	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a714-16b26fe50f5%22	https://bot.emirkabal.com/altyapi/js/owl.carousel.min.js	/storage/emulated/0/HTTrack/Websites/kabals/bot.emirkabal.com/altyapi/js/owl.carousel.min.js	(from https://bot.emirkabal.com/komutlar)
01:54:22	20219/20219	---MCZ	200	added ('OK')	application/javascript	etag:W/%224efb-16b26fe50f1%22	https://bot.emirkabal.com/altyapi/js/jquery.magnific-popup.min.js	/storage/emulated/0/HTTrack/Websites/kabals/bot.emirkabal.com/altyapi/js/jquery.magnific-popup.min.js	(from https://bot.emirkabal.com/komutlar)
01:54:23	1351/1351	---MCZ	200	added ('OK')	application/javascript	etag:W/%22547-16b26fe50e2%22	https://bot.emirkabal.com/altyapi/js/custom.js	/storage/emulated/0/HTTrack/Websites/kabals/bot.emirkabal.com/altyapi/js/custom.js	(from https://bot.emirkabal.com/komutlar)
01:54:24	11010/11010	---MCZ	200	added ('OK')	application/javascript	etag:W/%222b02-16b26fe50f6%22	https://bot.emirkabal.com/altyapi/js/smoothscroll.js	/storage/emulated/0/HTTrack/Websites/kabals/bot.emirkabal.com/altyapi/js/smoothscroll.js	(from https://bot.emirkabal.com/komutlar)
01:54:24	9299/9299	---MCZ	200	added ('OK')	application/javascript	etag:W/%222453-16b26fe50f7%22	https://bot.emirkabal.com/altyapi/js/theme.js	/storage/emulated/0/HTTrack/Websites/kabals/bot.emirkabal.com/altyapi/js/theme.js	(from https://bot.emirkabal.com/komutlar)
01:54:26	0/-1	---M--	302	error ('')			https://bot.emirkabal.com/ekle	/storage/emulated/0/HTTrack/Websites/kabals/bot.emirkabal.com/ekle.26.delayed	(from https://bot.emirkabal.com/)
01:54:26	0/-1	---M--	302	error ('')			https://bot.emirkabal.com/ekle	/storage/emulated/0/HTTrack/Websites/kabals/bot.emirkabal.com/ekle.27.delayed	(from https://bot.emirkabal.com/)
